Start,End,Open,High,Low,Close,Volume,Volatility,Impact,Rolling_std,Price_to_Volume,Cluster
2023-12-07,2023-12-08,43715.38,44045.95,43011.1,43249.99,0.19356225937081414,0.08623831627282127,2.5199252397593722e-08,1149.7318794976868,223442.26679615496,1
2023-12-06,2023-12-07,44093.22,44269.99,43454.0,43714.53,0.27587163766880174,0.06799981030628531,1.3941747166159163e-08,1186.2367706041077,158459.67483066008,1
2023-12-05,2023-12-06,41829.46,44413.99,41437.9,44085.68,0.2335320131157343,0.24800984749130864,6.006693049096575e-08,1016.3444818727542,188777.88707346056,1
2023-12-04,2023-12-05,39996.28,42386.31,39996.28,41995.8,0.21330962272239182,0.19917105188339493,5.281125308178197e-08,742.3471715892172,196877.1941182172,1
2023-12-01,2023-12-02,37688.39,38959.11,37624.65,38658.06,0.13739660235878287,0.11120605260030843,4.577716352077537e-08,2217.8946763531035,281361.10599774844,1
2023-11-29,2023-11-30,37832.67,38345.98,37623.01,37808.01,0.3223122887663753,0.06024807026695829,1.0572695051001105e-08,2337.4368295534514,117302.41544530356,1
2023-11-28,2023-11-29,37241.07,38273.7,36896.17,37776.89,0.3539435659552512,0.11479525323988941,1.8344710542478075e-08,1567.3213253177946,106731.39345828962,1
2023-11-27,2023-11-28,37451.29,37547.98,36754.04,37268.83,0.2903740839602519,0.0661622929136049,1.2887546512525722e-08,1004.0186689100321,128347.64553265566,1
2023-11-26,2023-11-27,37777.78,37814.65,37178.74,37478.11,0.17789856482714686,0.052993001595448765,1.6848127550973856e-08,767.6357667142635,210671.23299401085,1
2023-11-25,2023-11-26,37705.65,37868.05,37598.72,37785.84,0.32922318808711826,0.022444379109783193,3.855999483997786e-09,433.65448508493927,114772.71761915262,1
2023-11-24,2023-11-25,37317.25,38378.84,37262.01,37710.8,0.3015989538030597,0.09307004760397608,1.7454136240318e-08,200.94596434538002,125036.24274713061,1
2023-11-23,2023-11-24,37442.59,37635.03,36912.95,37294.4,0.38270841289051444,0.06017390289827417,8.893286747836532e-09,237.50222342025594,97448.6024969334,1
2023-11-22,2023-11-23,35855.61,37799.92,35855.61,37448.77,0.5001922654046713,0.16202736697338666,1.8322169839071444e-08,220.48975636729736,74868.75065871472,1
2023-11-21,2023-11-22,37447.07,37602.23,35942.19,35942.19,0.3975227946075727,0.13833797607917525,1.968348712777315e-08,619.0212083035892,90415.41890819489,1
2023-11-20,2023-11-21,37280.92,37715.45,36907.91,37465.89,0.28463020297098585,0.06729563697439594,1.3372822925829201e-08,623.1312204512446,131630.05755864613,1
2023-11-19,2023-11-20,36540.04,37480.34,36400.01,37388.51,0.19002277349015168,0.09002835214670403,2.6796692299673897e-08,619.8635166182908,196758.04806594795,1
2023-11-18,2023-11-19,36559.84,36807.23,36228.17,36559.41,0.3070084339009756,0.048255456753095026,8.890264911737717e-09,629.9015717601147,119082.75461837019,1
2023-11-17,2023-11-18,36138.01,36671.18,35941.81,36514.01,0.42147677300478326,0.060781408648507486,8.156814041862948e-09,603.3174311304973,86633.5047117427,1
2023-11-16,2023-11-17,37815.47,37869.84,35547.05,36223.54,0.47776395719611087,0.19356766551224455,2.2916295536858958e-08,634.822638988721,75818.90482611497,1
2023-11-15,2023-11-16,35578.0,37863.66,35390.38,37863.66,0.4102439365454461,0.2061086175496393,2.8416924189927797e-08,720.036531183841,92295.47746357863,1
2023-11-14,2023-11-15,36441.37,36733.34,35150.03,35540.04,0.34459597128073066,0.13194374888913432,2.165704290800766e-08,814.4851906199848,103135.39031785933,1
2023-11-13,2023-11-14,37026.56,37337.76,36414.24,36531.68,0.24694850284772887,0.07696072845753141,1.7626942583869973e-08,760.7265492410907,147932.38095687435,1
2023-11-12,2023-11-13,37142.19,37206.05,36754.31,37035.03,0.2445757376500591,0.0376453563251532,8.705867270184153e-09,714.6544727124347,151425.60891706278,1
2023-11-11,2023-11-12,37326.84,37396.29,36788.62,37082.17,0.36128990358370106,0.050639645986863054,7.927862461530661e-09,735.5411106805684,102638.26813917336,1
2023-11-09,2023-11-10,35586.65,37896.08,35586.65,36775.23,0.5093532515432201,0.19245432164076143,2.1371464550967684e-08,725.1295790777963,72199.8532228463,1
2023-11-08,2023-11-09,35338.35,35899.37,35161.17,35680.29,0.35000466066361297,0.06151724894680111,9.941315530444578e-09,699.8435991374153,101942.32823171483,1
2023-11-07,2023-11-08,35004.43,35853.1,34567.74,35423.24,0.2841641417730597,0.10711434720436176,2.1320407827443318e-08,729.1734423084143,124657.67066518142,1
